Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
grTriPseu1	grTriPseu1	Trichoderma citrinoviride	.	5129	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	.	.	Hypocreales
gsMetZobe1	gsMetZobe1	Metschnikowia zobellii	(a marine yeast)	27319	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Pichiomycetes	.	.	Serinales
gzEntParv1	gzEntParv1	Entomortierella parvispora	.	4854	Eukaryota	Fungi	Mucoromycota	Mortierellomycotina	Mortierellomycetes	.	.	Mortierellales
gzMucPiri1	gzMucPiri1	Mucor piriformis	.	34489	Eukaryota	Fungi	Mucoromycota	Mucoromycotina	Mucoromycetes	.	.	Mucorales
iHemFuc1	iHemFuc2	Hemaris fuciformis	broad bordered bee hawk moth	7128	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
icAdaBipu1	icAdaBipu1	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu6	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu9	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu15	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu20	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu28	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu29	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu31	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu32	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu33	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu34	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAdaBipu1	icAdaBipu36	Adalia bipunctata	2 spot ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAgoFuli1	icAgoFuli1	Agonum fuliginosum	.	41073	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAgrCyan1	icAgrCyan1	Agrilus cyanescens	.	50527	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAgrMuri1	icAgrMuri1	Agrypnus murinus	.	30009	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icAnaMacu3	icAnaMacu3	Anaspis maculata	.	219440	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icApoCory1	icApoCory1	Apoderus coryli	hazel leaf roller	122737	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icCanRust1	icCanRust1	Cantharis rustica	sailor beetle	41097	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icCanRust1	icCanRust3	Cantharis rustica	sailor beetle	41097	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icCetAura1	icCetAura1	Cetonia aurata	.	7055	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icChrOric1	icChrOric1	Chrysolina oricalcia	.	27439	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
