Reference sample,Sample,Common name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
iyPemLugu1,iyPemLugu1,Mournful wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Pemphredon,Pemphredon lugubris
iyRhoChlo1,iyRhoChlo1,Narrow-striped rhogogaster,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Rhogogaster,Rhogogaster chlorosoma
iySelTumu1,iySelTumu1,Bronze furrow bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Seladonia,Seladonia tumulorum
iySphMoni1,iySphMoni1,Box-headed blood bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Sphecodes,Sphecodes monilicornis
iyStePhae1,iyStePhae1,Plain dark bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Stelis,Stelis phaeoptera
iyTenDist1,iyTenDist1,Small wasp-sawfly,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo distinguenda
iyTenMeso1,iyTenMeso1,Common green-tenthredo,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo mesomela
iyTenNoth1,iyTenNoth1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo notha
iyTipFemo1,iyTipFemo1,Beetle killing wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tiphiidae,Tiphia,Tiphia femorata
iyVesCrab1,iyVesCrab1,European hornet,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro
iyVesGerm1,iyVesGerm1,German wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula germanica
iyVesVulg1,iyVesVulg2,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
iyVesVulg1,iyVesVulg3,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
iyVesVulg1,iyVesVulg5,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
iyVesVulg1,iyVesVulg1,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
jaDiaLine6,jaDiaLine6,Orange-striped anemone,Eukaryota,Metazoa,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Diadumene lineata
jaMetSeni4,jaMetSeni4,Brown sea anemone,Eukaryota,Metazoa,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,Metridium senile
jaNemVect1,jaNemVect1,.,Eukaryota,Metazoa,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Nematostella,Nematostella vectensis
jhCanCock6,jhCanCock6,(a hydroid),Eukaryota,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Candelabridae,Candelabrum,Candelabrum cocksii
jrHalOcto1,jrHalOcto1,Spotted kaleidoscope jellyfish,Eukaryota,Metazoa,Cnidaria,Staurozoa,Stauromedusae,Kishinouyeidae,Haliclystus,Haliclystus octoradiatus
kaAplTurb1,kaAplTurb1,(a colonial sea squirt),Eukaryota,Metazoa,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium turbinatum
kaAscMent1,kaAscMent1,(a solitary sea squirt),Eukaryota,Metazoa,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Ascidia mentula
kaClaLepa1,kaClaLepa1,Light-bulb sea squirt,Eukaryota,Metazoa,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,Clavelina lepadiformis
kcLamFluv1,kcLamFluv1,European river lamprey,Eukaryota,Metazoa,Chordata,Hyperoartia,Petromyzontiformes,Petromyzontidae,Lampetra,Lampetra fluviatilis
kmMyxGlut1,kmMyxGlut1,Atlantic hagfish,Eukaryota,Metazoa,Chordata,Myxini,Myxiniformes,Myxinidae,Myxine,Myxine glutinosa
laTriPals1,laTriPals1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin palustris
lpBroSter1,lpBroSter1,Barren brome,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Bromus,Bromus sterilis
